Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno lopšelis-darželis „Obelėlė“,,,,,
Mažyliai,lopšelio,-,15,0,2015-2016
Baravykai,darželio,-,20,0,2015-2016
Ąžuoliukai,darželio,-,20,0,2015-2016
Obuoliukai,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Obelėlė“,4,75,0,-,
Kauno lopšelis-darželis „Spindulėlis“,,,,,
Zuikučių,priešmokyklinė,-,23,0,2015-2016
Kačiukų,darželio,-,7,0,2015-2016
Boružėlių,priešmokyklinė,-,23,0,2015-2016
Viščiukų,darželio,-,7,0,2015-2016
Ančiukų,darželio,-,7,0,2015-2016
Nykštukų,darželio,-,23,0,2015-2016
Saulutės,darželio,-,23,0,2015-2016
Voveraičių,darželio,-,23,0,2015-2016
Meškučių,darželio,-,23,0,2015-2016
Drugelių,lopšelio,-,17,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Spindulėlis“,10,176,0,-,
Kauno lopšelis-darželis „Žvangutis“,,,,,
"„Meškučių"" grupė",darželio,-,24,0,2015-2016
"„Kiškučių"" grupė",darželio,-,24,0,2015-2016
"„Boružėlių"" grupė",darželio,-,24,0,2015-2016
"„Drugelių"" grupė",priešmokyklinė,-,25,0,2015-2016
"„Gandriukai""",lopšelio,-,17,0,2015-2016
"„Ežiukai""",lopšelio,-,17,0,2015-2016
"„Pelėdžiukai""",darželio,-,23,0,2015-2016
"„Bitutės""",darželio,-,24,0,2015-2016
"„Varlytės""",darželio,-,24,0,2015-2016
"„Žiogeliai""",darželio,-,24,0,2015-2016
Šarkiukų grupė,priešmokyklinė,-,25,0,2015-2016
"„Katinukai""",darželio,-,24,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Žvangutis“,12,275,0,-,
Kauno lopšelis-darželis „Žilvitis“,,,,,
Bitutės,darželio,-,20,0,2015-2016
Pelėdžiukai,darželio,-,21,0,2015-2016
Geniukai,darželio,-,20,0,2015-2016
Voveriukai,darželio,-,20,0,2015-2016
Ežiukai,darželio,-,21,0,2015-2016
Katinėliai,darželio,-,20,0,2015-2016
Paukšteliai,lopšelio,-,16,0,2015-2016
Žiogeliai,lopšelio,-,16,0,2015-2016
Kiškučiai,priešmokyklinė,-,20,0,2015-2016
Gandriukai,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Žilvitis“,10,194,0,-,
Kauno Jono ir Petro Vileišių mokykla,,,,,
Smalsučiai,priešmokyklinė,-,20,0,2015-2016
Saulutė,darželio,-,24,0,2015-2016
Žiniukai,priešmokyklinė,-,20,0,2015-2016
Boružėlė,darželio,-,24,0,2015-2016
Gudručiai,priešmokyklinė,-,20,0,2015-2016
Bitutė,darželio,-,24,0,2015-2016
Skruzdėlytė,darželio,-,24,0,2015-2016
Iš viso: Kauno Jono ir Petro Vileišių mokykla,7,156,0,-,
Kauno lopšelis-darželis „Mažylis“,,,,,
Viščiukai,lopšelio,-,15,0,2015-2016
Liūtukai,darželio,-,20,0,2015-2016
Meškiukai,darželio,-,20,0,2015-2016
Pelėdžiukai,priešmokyklinė,-,18,0,2015-2016
Nykštukai,priešmokyklinė,-,18,0,2015-2016
Drugeliai,darželio,-,20,0,2015-2016
Bitutės,darželio,-,20,0,2015-2016
Ežiukai,darželio,-,20,0,2015-2016
Kiškiukai,darželio,-,20,0,2015-2016
Saulutės,lopšelio,-,15,0,2015-2016
Boružėlės,lopšelio,-,10,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Mažylis“,11,196,0,-,
Kauno lopšelis-darželis „Kodėlčiukas“,,,,,
Kiškučiai,priešmokyklinė,-,20,0,2015-2016
Drugelių,darželio,-,20,0,2015-2016
Varpelio,lopšelio,-,15,0,2015-2016
Peliukai,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Kodėlčiukas“,4,75,0,-,
Kauno lopšelis-darželis „Čiauškutis“,,,,,
Cypliukai,lopšelio,-,15,0,2015-2016
Vytureliai,lopšelio,-,15,0,2015-2016
Žvirbliukai,lopšelio,-,15,0,2015-2016
Smalsučiai,darželio,-,20,0,2015-2016
Drugeliai,darželio,-,20,0,2015-2016
Kodėlčiukai,darželio,-,20,0,2015-2016
Zuikučiai,priešmokyklinė,-,20,0,2015-2016
Pabiručiai,darželio,-,20,0,2015-2016
Čiauškučiai,darželio,-,20,0,2015-2016
Pelėdžiukai,darželio,-,20,0,2015-2016
Žiniukai,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Čiauškutis“,11,205,0,-,
Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),,,,,
 Katinukų,darželio,-,18,0,2015-2016
 Žiogelių,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),2,38,0,-,
Kauno mokykla-darželis „Rūtelė“,,,,,
Nykštukų,darželio,-,29,0,2015-2016
Priešmokyklinė,priešmokyklinė,-,31,0,2015-2016
Pelėdžiukų,darželio,-,25,0,2015-2016
Iš viso: Kauno mokykla-darželis „Rūtelė“,3,85,0,-,
Kauno lopšelis-darželis „Malūnėlis“,,,,,
Kiškučiai,darželio,-,17,0,2015-2016
Nykštukai,lopšelio,-,15,0,2015-2016
Lapiukai,lopšelio,-,15,0,2015-2016
Drugeliai,darželio,-,19,0,2015-2016
Bitutės,darželio,-,19,0,2015-2016
Pelėdžiukai,darželio,-,19,0,2015-2016
Meškiukai,darželio,-,19,0,2015-2016
Voveriukai,darželio,-,19,0,2015-2016
Boružėlės,darželio,-,19,0,2015-2016
Ežiukai,priešmokyklinė,-,20,0,2015-2016
Saulutės,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Malūnėlis“,11,201,0,-,
Kauno sanatorinis lopšelis-darželis „Pienė“,,,,,
Kiškučių,lopšelio,-,15,0,2015-2016
Ežiukai,darželio,-,20,0,2015-2016
Gandriukai,darželio,-,20,0,2015-2016
Voveriukai,darželio,-,20,0,2015-2016
Stirniukai,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno sanatorinis lopšelis-darželis „Pienė“,5,95,0,-,
Kauno Bernardo Brazdžionio mokykla,,,,,
Smalsučių studija,darželio,-,20,0,2015-2016
Rudnosiuko studija,priešmokyklinė,-,20,0,2015-2016
Gudručių studija,darželio,-,20,0,2015-2016
Čiauškučių studija,lopšelio,-,15,0,2015-2016
Šnekučių studija,lopšelio,-,16,0,2015-2016
Linksmučių studija,darželio,-,20,0,2015-2016
Iš viso: Kauno Bernardo Brazdžionio mokykla,6,111,0,-,
Kauno lopšelis-darželis „Vaivorykštė“,,,,,
Vaivorykštė,priešmokyklinė,-,19,0,2015-2016
Mėnesėlis,priešmokyklinė,-,20,0,2015-2016
Spindulys,priešmokyklinė,-,21,0,2015-2016
Lašas,darželio,-,21,0,2015-2016
Žvaigždelė,darželio,-,21,0,2015-2016
Aušrinė,darželio,-,19,0,2015-2016
Debesėlis,darželio,-,20,0,2015-2016
Saulutė,darželio,-,19,0,2015-2016
Lietutis,darželio,-,23,0,2015-2016
Vėjūnė,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Vaivorykštė“,10,203,0,-,
Kauno lopšelis-darželis „Klumpelė“,,,,,
Žilvitis,darželio,-,26,0,2015-2016
Giliukas,lopšelio,-,19,0,2015-2016
Saulutė,priešmokyklinė,-,25,0,2015-2016
Linelis,darželio,-,25,0,2015-2016
Pagrandukas,darželio,-,25,0,2015-2016
Varpelis,darželio,-,22,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Klumpelė“,6,142,0,-,
Kauno lopšelis-darželis „Gintarėlis“,,,,,
Pelyciu,lopšelio,-,15,0,2015-2016
Mazyliu,lopšelio,-,15,0,2015-2016
Bituciu,darželio,-,20,0,2015-2016
Nykstuku,priešmokyklinė,-,20,0,2015-2016
Boruzeliu,priešmokyklinė,-,20,0,2015-2016
Kiskuciu,priešmokyklinė,-,20,0,2015-2016
Meskuciu,darželio,-,20,0,2015-2016
Skruzdelyciu,darželio,-,20,0,2015-2016
Peledziuku,darželio,-,20,0,2015-2016
Visciuku,darželio,-,20,0,2015-2016
Zvirbliuku,darželio,-,23,0,2015-2016
Drugeliu,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Gintarėlis“,12,233,0,-,
Kauno sanatorinis lopšelis-darželis „Pušynėlis“,,,,,
Boružėlės,lopšelio,-,15,0,2015-2016
Drugeliai,lopšelio,-,15,0,2015-2016
Ežiukai,darželio,-,20,0,2015-2016
Girinukai,darželio,-,20,0,2015-2016
Voveriukai,darželio,-,20,0,2015-2016
Skruzdėliukai,darželio,-,20,0,2015-2016
Ąžuoliukai,priešmokyklinė,-,20,0,2015-2016
Žiogeliai,darželio,-,20,0,2015-2016
Bitutės,priešmokyklinė,-,20,0,2015-2016
Saulutės,darželio,-,20,0,2015-2016
Iš viso: Kauno sanatorinis lopšelis-darželis „Pušynėlis“,10,190,0,-,
Kauno vaikų darželis „Raudonkepuraitė“,,,,,
"„KIŠKUČIŲ""",darželio,-,18,0,2015-2016
"„NYKŠTUKŲ""",darželio,-,18,0,2015-2016
"„SAULYČIŲ""",darželio,-,18,0,2015-2016
"„MEŠKUČIŲ""",darželio,-,18,0,2015-2016
Iš viso: Kauno vaikų darželis „Raudonkepuraitė“,4,72,0,-,
Kauno Aleksoto lopšelis-darželis,,,,,
Boružiukai,lopšelio,-,15,0,2015-2016
Žiogeliai,lopšelio,-,15,0,2015-2016
M.Montessori,darželio,-,21,0,2015-2016
Smalsučiai,priešmokyklinė,-,21,0,2015-2016
Vikruoliai,darželio,-,21,0,2015-2016
Kodėlčiukai,darželio,-,20,0,2015-2016
Ramtatuliai,darželio,-,21,0,2015-2016
Dainorėliai,darželio,-,21,0,2015-2016
Gudručiai,priešmokyklinė,-,21,0,2015-2016
Spalviukai,darželio,-,21,0,2015-2016
Pasakaitė,darželio,-,21,0,2015-2016
Žiniukai,darželio,-,20,0,2015-2016
Iš viso: Kauno Aleksoto lopšelis-darželis,12,238,0,-,
Kauno lopšelis-darželis „Šilinukas“,,,,,
Pumpurėliai,lopšelio,-,15,0,2015-2016
Saulutės,darželio,-,20,0,2015-2016
Boružėlės,darželio,-,20,0,2015-2016
Vyturėlis,priešmokyklinė,-,20,0,2015-2016
Riešutėliai,priešmokyklinė,-,20,0,2015-2016
Saulės zuikučiai,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Šilinukas“,6,115,0,-,
Kauno lopšelis-darželis „Naminukas“,,,,,
",,Viščiukai""",lopšelio,-,16,0,2015-2016
",,Kačiukai""",lopšelio,-,16,0,2015-2016
",,Ežiukai""",darželio,-,21,0,2015-2016
",,Boružiukai""",darželio,-,21,0,2015-2016
",,Varliukai""",priešmokyklinė,-,20,0,2015-2016
",,Pelėdžiukai""",darželio,-,19,0,2015-2016
",,Skudurinė Onutė""",priešmokyklinė,-,19,0,2015-2016
",,Beždžioniukai""",darželio,-,20,0,2015-2016
",,Meškiukai""",darželio,-,19,0,2015-2016
",,Bitučių""",darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Naminukas“,10,191,0,-,
Kauno lopšelis-darželis „Dobilėlis“,,,,,
",,Boružėlių""",lopšelio,-,15,0,2015-2016
",,Žirniukų""",darželio,-,20,0,2015-2016
