2 mokykla 2016 m. ataskaita,,
Kauno m. sav.,,
Įstaigų skaičius (su padaliniais): 72,,
"Plotai, klasės",,
Bendras patalpų plotas (kv.m),"365755,95",
Klasių kambarių bendras plotas (kv. m),"136429,05",
Klasių kambarių skaičius (įskaitant mokom. kabinetus ir laboratorijas),2498,
Integruotų gamtos mokslų laboratorijos (vnt.),1,
Biologijos laboratorijos (vnt.),10,
Chemijos laboratorijos (vnt.),18,
Fizikos laboratorijos (vnt.),12,
Bendrabučiai,,
Bendrabučių skaičius (vnt.),4,
Vietų bendrabučiuose skaičius,285,
Bendrabučių plotas (kv. m.),"4120,23",
Kitos patalpos,,
Mokomosios dirbtuvės (vnt.),97,
Sporto salė (vnt.),75,
Aerobikos salė (vnt.),18,
Atletinės gimnastikos salė (vnt.),14,
Biblioteka (vnt.),76,
Skaitykla (vnt.),51,
Valgykla (vnt.),68,
Medicinos kabinetas (vnt.),85,
Baseinas (vnt.),1,
Stadionas (vnt.),26,
Aikštynas (vnt.),41,
Aikštė (vnt.),44,
Mokyklos autobusų (mikroautobusų) skaičius,10,
Iš jų geltonųjų autobusų skaičius,4,
Mokyklos muziejus (vnt.),21,
"Pastatymas, remontas",,
Mokyklos pastatymo metai,,
Paskutinio kapitalinio remonto metai,,
Paskutinio kapitalinio remonto kaina (Eur),"14.041.308,22",
Lėšos skirtos aplinkai (Eur) (2016 metų planas),"20.872.877,79",
Kiti rodikliai,,
"Registruotas mokyklos kūno kultūros ir sporto klubas (0-ne, 1-taip)",1,
"Mokykla sistemingai taiko kokybės valdymo sistemą (0-ne, 1-taip)",64,
"Mokyklos pastatai priklauso I ar II grupei (0 - ne, bent vienam pastatui reikalingas kapitalinis remontas; 1 - taip, visi pastatai geros būklės)",25,
"Mokykla turi higienos pasą (0-ne, 1-taip)",66,
"Elektroninis dienynas (0-nenaudojamas, 1-naudojamas)",67,
Interaktyvios lentos (vnt.),264,
Daugialypės terpės projektoriai (vnt.),1.287,
"Mokykloje veikia belaidžio (Wi-Fi) interneto tinklas (0-neveikia, 1-veikia)",66,
"Mokykla naudoja virtualią mokymosi aplinką* (0-nenaudoja, 1-naudoja)",23,
"Mokykla turi higienos pasą (pagal higienos normą HN75:2010)** (0-ne, 1-taip)",44,
"Mokykla įgyvendina etninės kultūros ugdymo metodines rekomendacijas ar bendrąsias programas (0-ne, 1-taip)",46,
Kompiuteriai patalpose,,
,,Kompiuterių skaičius
Kompiuteriai patalpose,Specialiosios kompiuterių klasės ir (arba) informatikos kabinetai,2236
,Įvairių dalykų kabinetai ir klasės,2758
,Mokyklos biblioteka ir skaitykla,564
,Mokytojų kambarys,120
,Kitos tik mokytojams skirtos patalpos,184
,Mokyklos administracijos kabinetai,671
,Kitos mokyklos patalpos,547
Iš viso kompiuterių,,7080
Kompiuterių paskirtis,,
Iš visų kompiuterių,Naudojamų mokinių mokymui iš viso,3893
,"Serverių (atskirų, serverių funkcijoms atlikti skirtų kompiuterių)",73
,Prijungtų prie Interneto,6494
,Nešiojamieji kompiuteriai,1402
,Kompiuterizuotos mokytojų darbo vietos (tik mokytojams skirtos darbo vietos),1377
,Planšetiniai kompiuteriai,1.324
,4 metų ir senesni,3.89
,Naudoja Windows operacinę sistemą,6.424
Gauti kompiuteriai,,
,,Gauta kompiuterių per 2015/2016 mokslo metus (vnt.)
Už kokias lėšas įsigyta,"Valstybės (įskaitant sutaupytas mokinių krepšelio lėšas, ES fondų lėšas)",226
,Steigėjo,357
,Rėmėjų,43
Iš viso gauta kompiuterių,,626
Mokyklos Interneto greitis,,
,,Žymėjimas
Interneto greitis,mokykla neturi Interneto,0
,iki 30 Mbps,7
,nuo 30 Mbps iki 100 Mbps,44
,100 Mbps ir daugiau,19
"*Mokinių ugdymui naudojama virtuali mokymosi aplinka (MOODLE, ItsLearning, Edmodo ir kt.)",,
**Jeigu įstaiga daugiau kaip 4 val. vykdo ikimokyklinį ir (ar) priešmokyklinį ugdymą,,
